trial,odour,conc,percent,gb,normalized
8,Dodecyl Aldehyde,1,84.64242294,Good,81.85593403
8,Dodecyl Aldehyde,10,63.78346727,Good,43.219561
8,2-Heptanol,0.01,93.55573775,Good,93.11184711
8,2-Heptanol,0.1,59.18173653,Good,31.02895276
8,2-Heptanol,1,117.5603397,Good,114.9372992
8,2-Heptanol,10,116.6874006,Good,114.3009446
8,Ethyl Palmitate,0.01,66.71691619,Good,50.11297627
8,Ethyl Palmitate,0.1,67.40919545,Good,51.6522867
8,Ethyl Palmitate,1,80.51774432,Good,75.80377364
8,Ethyl Palmitate,10,118.286408,Good,115.459433
8,Hexane,0,100,Good,100
8,Methyl Palmitate,0.01,114.1188771,Good,112.3720786
8,Methyl Palmitate,0.1,47.54884254,Good,-10.3100615
8,Methyl Palmitate,1,80.53719146,Good,75.83376302
8,Methyl Palmitate,10,63.86763547,Good,43.42617467
8,Octanoic Acid,0.01,53.99626657,Good,14.80201068
8,Octanoic Acid,0.1,50.74627257,Good,2.941191668
8,Octanoic Acid,1,197.4300226,Good,149.3491422
8,Octanoic Acid,10,65.0578159,Good,46.29056691
8,trans-Nerolidol,0.01,56.61364904,Good,23.36415036
8,trans-Nerolidol,0.1,66.22373485,Good,48.99673777
8,trans-Nerolidol,1,73.9286828,Good,64.73450329
8,trans-Nerolidol,10,88.73896358,Good,87.3099302
8,2-Nonanal,0.01,85.1273416,Good,82.52892888
8,2-Nonanal,0.1,61.47773127,Good,37.33947571
8,2-Nonanal,1,87.85066125,Good,86.17046409
8,2-Nonanal,10,122.8798244,Good,118.6196754
8,Hexane,0,100,Good,100
8,Methyl Palmitate,0.01,68.18239502,Good,53.33457416
8,Methyl Palmitate,0.1,106.718823,Good,106.2958181
8,Methyl Palmitate,1,67.49902168,Good,51.84970462
8,Methyl Palmitate,10,86.66641488,Good,84.61504939
8,Heptacosane,0.01,52.29870197,Good,8.790665465
8,Heptacosane,0.1,61.9228103,Good,38.50862145
8,Heptacosane,1,83.23848318,Good,79.86326014
8,Heptacosane,10,61.72078521,Good,37.98002624
8,1-Hexadecanol,0.01,100.8625228,Good,100.855147
8,1-Hexadecanol,0.1,67.09590103,Good,50.95959894
8,1-Hexadecanol,1,215.7650518,Good,153.6532913
8,1-Hexadecanol,10,72.0797809,Good,61.26483911
8,2-Heptanone,0.01,71.77337492,Good,60.6725682
8,2-Heptanone,0.1,90.14557041,Good,89.06831523
8,2-Heptanone,1,54.83202412,Good,17.62482491
8,2-Heptanone,10,93.20148693,Good,92.70557446
8,Hexane,0,100,Good,100
8,Methyl Palmitate,0.01,120.0628052,Good,116.7102586
8,Methyl Palmitate,0.1,124.8159545,Good,119.8820372
8,Methyl Palmitate,1,81.47783609,Good,77.26723635
8,Methyl Palmitate,10,110.9733251,Good,109.8882548
8,Heptacosane,10,65.83277284,Good,48.09997258
8,Benzoic Acid,0.01,85.05928258,Good,82.434936
8,Benzoic Acid,0.1,94.084299,Good,93.71233983
8,Benzoic Acid,1,42.92140668,Good,-32.98397637
8,Benzoic Acid,10,114.7010085,Good,112.8168084
8,Hexane,0,100,Good,100
8,Methyl Palmitate,0.01,275.0284966,Good,163.6401314
8,Methyl Palmitate,0.1,222.604086,Good,155.0771948
8,Methyl Palmitate,1,121.6205973,Good,117.7770853
8,Methyl Palmitate,10,421.0545319,Good,176.2501072
9,Hexane,0,100,Bad,100
9,Methyl Palmitate,0.01,149.0363128,Bad,132.9022585
9,Methyl Palmitate,0.1,110.7322483,Bad,109.6920711
9,Methyl Palmitate,1,113.1442982,Bad,111.6172873
9,Methyl Palmitate,10,153.4681893,Bad,134.8399167
9,Heptacosane,0.01,142.8732618,Bad,130.0078974
9,Heptacosane,0.1,128.0367877,Bad,121.897447
9,Heptacosane,1,115.6861728,Bad,113.559246
9,Heptacosane,10,139.9066988,Bad,128.5237942
9,Benzoic Acid,0.01,105.9472,Bad,105.6133621
9,Benzoic Acid,0.1,130.9340004,Bad,123.6256437
9,Benzoic Acid,1,114.6246088,Bad,112.758699
9,Benzoic Acid,10,150.4836873,Bad,133.5476145
9,Geraniol,0.01,80.95757113,Bad,76.47850769
9,Geraniol,0.1,130.0233236,Bad,123.0907216
9,Geraniol,1,119.0375693,Bad,115.9929083
9,Geraniol,10,86.11491855,Bad,83.87610221
9,Hexane,0,100,Bad,100
9,Methyl Palmitate,0.01,104.5943301,Bad,104.3925231
9,Methyl Palmitate,0.1,59.90771498,Bad,33.07659118
9,Methyl Palmitate,1,122.488132,Bad,118.3594374
9,Methyl Palmitate,10,139.1072281,Bad,128.1130094
9,2-Heptanone,0.01,121.8867393,Bad,117.9566206
9,2-Heptanone,0.1,124.857999,Bad,119.909016
9,2-Heptanone,1,147.7538757,Bad,132.3198803
9,2-Heptanone,10,121.0606619,Bad,117.396784
9,Ethyl Palmitate,0.01,115.8830332,Bad,113.7060903
9,Ethyl Palmitate,0.1,107.2661365,Bad,106.7739333
9,Ethyl Palmitate,1,116.2485402,Bad,113.9774144
9,Ethyl Palmitate,10,120.5622244,Bad,117.0552796
9,Dodecyl Aldehyde,0.01,153.5375621,Bad,134.8693579
10,Dodecyl Aldehyde,0.1,167.1924981,Good,140.188704
10,Dodecyl Aldehyde,1,204.9728066,Good,151.2130406
10,Dodecyl Aldehyde,10,115.4911139,Good,113.4132518
10,Hexane,0,100,Good,100
10,Methyl Palmitate,0.01,166.2369313,Good,139.8448953
10,Methyl Palmitate,0.1,177.2532042,Good,143.5835304
10,Methyl Palmitate,1,178.3150262,Good,143.9194766
10,Methyl Palmitate,10,157.1123556,Good,136.3512821
10,Octadecanol,0.01,192.404107,Good,148.0260575
10,Octadecanol,0.1,78.6797713,Good,72.90252838
10,Octadecanol,1,111.9922071,Good,110.7080728
10,Octadecanol,10,99.44752723,Good,99.44445802
10,trans-Nerolidol,0.01,69.84012238,Good,56.81582936
10,trans-Nerolidol,0.1,149.1999747,Good,132.97586
10,trans-Nerolidol,1,79.79347615,Good,74.67647127
10,trans-Nerolidol,10,78.75414814,Good,73.02256153
10,Butyric Acid,0.01,82.21633408,Good,78.36966813
10,Butyric Acid,0.1,94.37139723,Good,94.0356899
10,Butyric Acid,1,100.7087189,Good,100.7037314
10,Butyric Acid,10,78.77548764,Good,73.05695846
10,Hexane,0,100,Good,100
10,Methyl Palmitate,0.01,63.46720512,Good,42.43831155
10,Methyl Palmitate,0.1,72.92578606,Good,62.87429261
10,Methyl Palmitate,1,70.2752034,Good,57.7022973
10,Methyl Palmitate,10,73.09994477,Good,63.20099103
11,Hexane,0,100,Good,100
11,Methyl Palmitate,0.01,136.1554821,Good,126.5545548
11,Methyl Palmitate,0.1,108.9881996,Good,108.2469475
11,Methyl Palmitate,1,101.6238278,Good,101.597881
11,Methyl Palmitate,10,132.2916856,Good,124.4094597
11,trans-Nerolidol,0.01,115.1317077,Good,113.1429543
11,trans-Nerolidol,0.1,110.9242475,Good,109.8483855
11,trans-Nerolidol,1,102.3108757,Good,102.2586804
11,trans-Nerolidol,10,96.83175834,Good,96.72809654
11,Dodecyl Aldehyde,0.01,87.38899043,Good,85.56910944
11,Dodecyl Aldehyde,0.1,56.21970043,Good,22.12640901
11,Dodecyl Aldehyde,1,87.98423773,Good,86.34327855
11,Dodecyl Aldehyde,10,52.50568577,Good,9.544435945
11,Octadecanol,0.01,94.5692136,Good,94.25734212
11,Octadecanol,0.1,62.66448642,Good,40.41997994
11,Octadecanol,1,86.81399034,Good,84.81119274
11,Octadecanol,10,78.00552799,Good,71.80395726
11,Hexane,0,100,Good,100
11,Methyl Palmitate,0.01,85.18077384,Good,82.60261618
11,Methyl Palmitate,0.1,125.6736311,Good,120.428813
11,Methyl Palmitate,1,65.98394475,Good,48.44798175
11,Methyl Palmitate,10,94.20527332,Good,93.84882982
11,2-Heptanone,0.01,96.45245473,Good,96.32197513
11,2-Heptanone,0.1,62.20041062,Good,39.22935717
11,2-Heptanone,1,64.20917234,Good,44.25901105
11,2-Heptanone,10,67.68317299,Good,52.2527896
11,Ethyl Palmitate,0.01,76.9638342,Good,70.06884333
11,Ethyl Palmitate,0.1,99.25537196,Good,99.24978565
11,Ethyl Palmitate,1,83.40013703,Good,80.09612027
11,Ethyl Palmitate,10,70.11122961,Good,57.36949622
11,Butyric Acid,0.01,64.19358727,Good,44.22119989
11,Butyric Acid,0.1,97.49285759,Good,97.4283835
11,Butyric Acid,1,52.10181047,Good,8.06808997
11,Butyric Acid,10,103.4103917,Good,103.2979198
11,Hexane,0,100,Good,100
11,Methyl Palmitate,0.01,81.54987345,Good,77.37565276
11,Methyl Palmitate,0.1,78.01644991,Good,71.82190408
11,Methyl Palmitate,1,100.6879432,Good,100.6832429
11,Methyl Palmitate,10,72.09974309,Good,61.30325059
11,Geraniol,0.01,90.7102157,Good,89.75883342
11,Geraniol,0.1,77.74176596,Good,71.36901411
11,Geraniol,1,79.09950828,Good,73.57696378
11,Geraniol,10,84.22834537,Good,81.27512234
11,Benzoic Acid,0.01,109.9735612,Good,109.0690536
11,Benzoic Acid,0.1,130.5010613,Good,123.3722707
11,Benzoic Acid,1,88.81332021,Good,87.40427702
11,Benzoic Acid,10,111.6442027,Good,110.4297424
11,Heptacosane,0.01,82.11728817,Good,78.22296349
11,Heptacosane,0.1,103.4967027,Good,103.3785643
11,Heptacosane,1,59.65274439,Good,32.36311921
11,Heptacosane,10,57.96682473,Good,27.48753193
11,Hexane,0,100,Good,100
11,Methyl Palmitate,0.01,79.69612172,Good,74.52337975
11,Methyl Palmitate,0.1,69.2515112,Good,55.59881904
11,Methyl Palmitate,1,81.96048344,Good,77.98998273
11,Methyl Palmitate,10,44.66416327,Good,-23.89314539
11,Methyl Palmitate,1,92.90936683,Good,92.36822571
11,Methyl Palmitate,10,132.6821297,Good,124.6319001
12,Hexane,0,45.12671078,Good,-21.59824696
12,Methyl Palmitate,0.01,48.4659617,Good,-6.330373914
12,Methyl Palmitate,0.1,56.61523099,Good,23.36908592
12,Methyl Palmitate,1,89.49990338,Good,88.2680358
12,Methyl Palmitate,10,61.53954126,Good,37.50285109
12,Benzoic Acid,0.01,40.74992621,Good,-45.39921737
12,Benzoic Acid,0.1,76.22351988,Good,68.80689824
12,Benzoic Acid,1,68.83995343,Good,54.73552056
12,Benzoic Acid,10,72.09609885,Good,61.29623989
12,Butyric Acid,0.01,91.56924225,Good,90.79302444
12,Butyric Acid,0.1,58.44697089,Good,28.90473453
12,Butyric Acid,1,108.7543883,Good,108.0496874
12,Butyric Acid,10,79.08875511,Good,73.55977488
12,Ethyl Palmitate,0.01,82.36071639,Good,78.58289196
12,Ethyl Palmitate,0.1,72.7838314,Good,62.60684816
12,Ethyl Palmitate,1,80.14361783,Good,75.22400073
12,Ethyl Palmitate,10,69.92171187,Good,56.98290655
12,Hexane,0,100,Good,100
12,Methyl Palmitate,0.01,91.3422482,Good,90.52163488
12,Methyl Palmitate,0.1,99.23971861,Good,99.23389405
12,Methyl Palmitate,1,98.37766315,Good,98.35090935
12,Methyl Palmitate,10,78.63335306,Good,72.82750117
12,Octadecanol,0.01,83.40175327,Good,80.09844388
12,Octadecanol,0.1,74.23324159,Good,65.28946082
12,Octadecanol,1,99.68649717,Good,99.68551124
12,Octadecanol,10,111.3680964,Good,110.2076777
12,trans-Nerolidol,0.01,125.0162571,Good,120.0104032
12,trans-Nerolidol,0.1,88.01080191,Good,86.3775834
12,trans-Nerolidol,1,91.94707958,Good,91.24178771
12,trans-Nerolidol,10,73.69948281,Good,64.31383751
12,Geraniol,0.01,86.79384146,Good,84.78445208
12,Geraniol,0.1,102.0542902,Good,102.0129386
12,Geraniol,1,103.9862243,Good,103.8334158
12,Geraniol,10,83.63850446,Good,80.43784301
12,Geraniol,10,131.1001787,Good,123.7224533
12,Hexane,0,100,Good,100
12,Methyl Palmitate,0.01,85.51169857,Good,83.05693645
12,Methyl Palmitate,0.1,111.6595248,Good,110.4420334
12,Methyl Palmitate,1,83.591251,Good,80.37025549
12,Methyl Palmitate,10,147.5835844,Good,132.2417866
12,Dodecyl Aldehyde,0.01,82.53039477,Good,78.83251949
12,Dodecyl Aldehyde,0.1,115.1865162,Good,113.184283
12,Dodecyl Aldehyde,1,137.5676577,Good,127.3084956
12,Dodecyl Aldehyde,10,133.777777,Good,125.249169
12,2-Heptanone,0.01,150.7293714,Good,133.6559298
12,2-Heptanone,0.1,163.437474,Good,138.8145218
12,2-Heptanone,1,108.090141,Good,107.4846243
12,2-Heptanone,10,138.7552074,Good,127.9306327
12,Heptacosane,0.01,111.9607087,Good,110.6829519
12,Heptacosane,0.1,185.7219606,Good,146.1560713
12,Heptacosane,1,68.0713394,Good,53.09529549
12,Heptacosane,10,89.11551198,Good,87.78609046
12,Hexane,0,100,Good,100
12,Methyl Palmitate,0.01,161.5832415,Good,138.1123939
12,Methyl Palmitate,0.1,166.7080135,Good,140.0148812
12,Methyl Palmitate,1,190.6077084,Good,147.5362246
12,Methyl Palmitate,10,129.4173213,Good,122.7305905
12,Heptadecane,0.01,193.772823,Good,148.3931758
12,Heptadecane,0.1,80.6236949,Good,75.96698448
12,Heptadecane,1,127.7759795,Good,121.738029
12,Heptadecane,10,100.8822722,Good,100.8745562
12,2-Hydroxyhexanoic Acid (DCM),0.01,123.0299238,Good,118.7189613
12,2-Hydroxyhexanoic Acid (DCM),0.1,95.75055629,Good,95.56196447
